,Gene,Y0a,Y0b,Y1a,Y1b,Y3a,Y3b
4367,ENSG00000123810,0.09751798990554787,0.07432187901912606,4.5026443887317584e-08,8.74109630786534e-07,2.1022215730790466e-09,3.727592814209211e-08
4368,ENSG00000123815,0.018996762779462707,0.032920237116660124,1.810379013475656e-08,4.1035351328663704e-06,0.024681082123903034,0.0514766928731343
4369,ENSG00000123836,1.3336940413324545e-05,0.0005044882466375953,8.111024578427398e-06,3.248292349015781e-05,0.015192299175556933,0.024709391597902287
4370,ENSG00000123901,0.07319725625735829,0.06798160067486639,0.08698811029971411,0.1223108826247463,0.1738851353707483,0.24540015941496487
4371,ENSG00000123908,0.36113278300069734,0.12317236745826962,1.7207225011020333e-09,2.3994444926704746e-08,4.885317093351351e-05,0.00047572895728553185
4372,ENSG00000123933,0.0003691456559786754,0.024798596679499966,2.1001862211473742e-07,2.8281881147859023e-06,0.0002499138635200162,0.0006551205546182859
4373,ENSG00000123983,1.0881419083194467e-07,6.702306448972983e-05,4.532279769220458e-09,1.7790326963606864e-07,0.05850828689130258,0.0470364436436672
4374,ENSG00000123989,0.3599392933702166,0.16968385705041947,0.09648654144144915,0.03609842264787754,0.00016089329664597905,0.00035074478634291033
4375,ENSG00000123992,5.329369935130318e-08,8.000933653411999e-05,0.9812266411709277,0.972427356640131,9.757264778462506e-05,1.2018295166719816e-05
4376,ENSG00000124006,4.0387396649448975e-05,0.0016101389397234045,2.358946959709528e-05,0.000291715158344067,8.014981113660948e-08,4.7365360373036507e-07
4377,ENSG00000124067,6.68734347431937e-05,0.0015479399116526357,2.825341248848919e-06,7.628169912767543e-05,2.7519005043982876e-05,0.0002632698487311918
4378,ENSG00000124074,0.024074844951793628,0.030230088389763196,0.0052118910816947245,0.006304031034262542,2.652551091673002e-12,5.003202273067314e-12
4379,ENSG00000124098,1.0870346167801928e-07,6.697913586303619e-05,2.2284734980534527e-13,1.9741586334487755e-10,2.3046633482863245e-08,3.01976281704599e-07
4380,ENSG00000124104,0.05819135394450578,0.07362643951032255,7.678104910046972e-12,2.399448316044114e-10,8.196327474884389e-06,5.269257417319327e-05
4381,ENSG00000124120,0.1421759872733988,0.14236024453606713,0.006634065440555458,0.002431149600835008,1.5900408187816306e-06,1.2209268971937573e-05
4382,ENSG00000124126,0.009849178321073708,0.048443688953721836,0.9715681204591077,0.994684765610761,5.085793461348365e-08,2.719085509517542e-07
4383,ENSG00000124134,0.03492098815905697,0.027292190984256948,1.1121760116334252e-15,2.463711734716306e-13,0.4464804507742796,0.8304628903953238
4384,ENSG00000124140,7.987724935764143e-06,0.008136576056174454,5.799531317260655e-14,2.332904307933199e-10,0.997534355262507,0.9938210350322395
4385,ENSG00000124145,0.8367978691177125,0.26492857325863367,0.007698961563572913,0.3032852121808263,0.09265899213733877,0.2326244714866665
4386,ENSG00000124151,2.0964640705425507e-07,0.00011581441028818991,0.043126558034081365,0.0772916345823584,1.086689275686546e-10,1.1241711002223959e-08
4387,ENSG00000124155,0.05812629042109548,0.07357428163410615,1.552240782273747e-13,7.679154801922458e-12,0.2110537292629486,0.35495055828800537
4388,ENSG00000124160,0.04153576583668551,0.11228815523904472,1.1730706642913121e-06,8.410168018402164e-06,0.0003802113878229009,0.00448870801638056
4389,ENSG00000124164,0.05625103258735405,0.051362288502299,3.099804343255285e-06,9.460558914787418e-06,0.0541865987167072,0.08067217350231266
4390,ENSG00000124171,8.134022141391272e-06,0.0004464816246085303,1.9038318783076288e-13,7.644339595247198e-12,4.3123092865819167e-13,1.8258680820680276e-10
4391,ENSG00000124172,8.132642039103361e-06,0.0004464328572210961,1.075460102859981e-10,1.7262769901773128e-07,2.069900427798006e-09,9.943383947878888e-08
4392,ENSG00000124177,9.827789832466027e-08,6.475236390214626e-05,4.584742673128522e-22,3.688921979527991e-18,0.6414548776195788,0.7823184902516069
4393,ENSG00000124181,1.8831476380314704e-08,8.667697065597486e-05,1.0361853548155907e-12,1.601665673539812e-10,5.341784255477644e-05,0.00020571876962163815
4394,ENSG00000124191,0.1336281657131535,0.13364005315163263,0.10588764777877444,0.023683914533254385,0.001304239745871718,0.0020003595525037517
4395,ENSG00000124193,0.05805201569176101,0.07351471428486596,8.794598411956772e-05,0.0001629710610794103,0.0015021343890834332,0.004429507659539513
4396,ENSG00000124194,0.07284940700412894,0.04206525303316626,0.0006748651781413463,0.0027192801782205513,0.02371041176566699,0.05597487565725098
4397,ENSG00000124198,0.038410437310063335,0.042107707081505116,4.725281785872873e-18,4.695903675593712e-14,0.011044192650575263,0.019026709246341835
4398,ENSG00000124201,0.009684050756899227,0.16197296015207155,2.3621068067851251e-07,4.912902813271151e-06,0.690929120880738,0.6086207555522357
4399,ENSG00000124203,0.058014911733051795,0.07348494726311518,1.1393259303413445e-09,4.978400989617977e-07,0.7499529233928458,0.7918548450606067
4400,ENSG00000124207,3.658140478415495e-08,3.0974691125076994e-05,5.349990011604903e-22,1.0235559350936852e-16,0.00011259374442033448,0.0006514219584146831
4401,ENSG00000124209,0.05799636810016056,0.0734700679139854,5.494731357124403e-06,1.1811126314014486e-05,0.05738449640913612,0.13902454587758595
4402,ENSG00000124212,0.0579870983697027,0.07346262927967297,2.2899239175284075e-07,6.47434435249795e-05,2.299726075080899e-05,4.494370388590023e-06
4403,ENSG00000124214,0.00017921581878817882,0.005488010547138545,5.962202817150038e-17,1.2516622222345593e-14,0.0031588480866863644,0.0065242056044102995
4404,ENSG00000124215,0.0009322781632794092,0.05730766180893334,6.08090133362486e-07,3.686931928375182e-06,0.0014873017838193457,0.006250305724942276
4405,ENSG00000124217,0.01567161592620685,0.0169307995461699,7.637226782893834e-05,4.093483114486343e-05,0.00035779285702963016,0.0006575038632940924
4406,ENSG00000124222,3.2300741065956603e-07,0.00023239695711002706,3.3980446376098515e-05,8.771086363285205e-05,2.6115469560562066e-09,5.20750424381089e-08
4407,ENSG00000124224,0.03385041085505916,0.031192386921395854,8.769805783177137e-05,0.0001623986407931311,0.9796725379694253,0.9542926063900686
4408,ENSG00000124225,0.18502186718658145,0.036284722627921304,3.290843761353886e-09,2.2983839263454822e-08,1.764851348510609e-08,6.145718123958029e-09
4409,ENSG00000124226,0.12025321684343353,0.1449538432107296,2.763032433984002e-07,1.1152797994488945e-06,8.269060351607321e-11,9.105973625973149e-11
4410,ENSG00000124228,0.0371054249737769,0.047236931927363265,8.763618553397565e-05,0.00016225585009862687,1.2389685706068209e-09,4.0848656677826284e-08
4411,ENSG00000124243,4.5428672993330334e-05,0.05548034496487869,0.0014198568668294135,0.0022585758979554076,1.3867048051857634e-10,1.418777453734263e-10
4412,ENSG00000124251,0.08651779668873912,0.07943871087558312,0.9999998467037776,0.9999976571944327,0.7831128767410842,0.848975619882922
4413,ENSG00000124275,0.0041326416866889456,0.03345556304712177,6.836210662231609e-09,1.3859546211422918e-07,3.043059153379791e-07,1.256079201753585e-05
4414,ENSG00000124279,6.348377021745083e-06,0.0004857388495571527,2.853250486555608e-13,7.404870839416012e-09,1.2389622776675231e-11,9.687556723436193e-12
4415,ENSG00000124299,4.7836627094030044e-08,4.643788296344833e-05,8.753316201802969e-05,0.00016201814450851902,0.09234455963046492,0.16864292886153415
4416,ENSG00000124302,0.015642848552379907,0.0184591115921704,0.002318214684809886,0.0011060462665788509,0.00016315558372779,0.00031189091040959157
4417,ENSG00000124313,0.07265805832959865,0.06765689211860973,2.0338445331484788e-20,9.123041646634712e-12,4.9020408526695506e-05,0.0005331229740502888
4418,ENSG00000124356,0.05783897165743281,0.0733437054016351,1.4374206225588751e-06,2.338080117095446e-05,0.050643329228746065,0.07382962565620974
4419,ENSG00000124357,0.03705089968486448,0.04719268742880499,9.59137149490744e-05,0.00013605241101477436,3.2763275735316935e-20,5.677767246462089e-18
