,Gene,Y0a,Y0b,Y1a,Y1b,Y2a,Y2b,Y3a,Y3b
14041,ENSG00000268912,0.003648390584464302,0.003648390584464302,3.228278069565011e-09,3.228278069565011e-09,3.542076512359197e-05,3.542076512359197e-05,8.728238384716048e-08,8.728238384716048e-08
14042,ENSG00000268996,0.0011183476163487951,0.0011183476163487951,7.331503103618973e-22,7.331503103618973e-22,1.8370579755911324e-05,1.8370579755911324e-05,2.068228539164175e-09,2.068228539164175e-09
14043,ENSG00000269044,0.0036466392071770083,0.0036466392071770083,6.793307217052118e-13,6.793307217052118e-13,1.5873162420581904e-11,1.5873162420581904e-11,0.04439835398839543,0.04439835398839543
14044,ENSG00000269069,0.003645763832679754,0.003645763832679754,1.172004805540924e-10,1.172004805540924e-10,0.003339812724249258,0.003339812724249258,4.597252046777359e-09,4.597252046777359e-09
14045,ENSG00000269190,0.007297792735575112,0.007297792735575112,1.3576842845507536e-14,1.3576842845507536e-14,4.4221644207958405e-07,4.4221644207958405e-07,3.726068326606921e-06,3.726068326606921e-06
14046,ENSG00000269293,1.2708382007352244e-06,1.2708382007352244e-06,0.00014936851877784784,0.00014936851877784784,0.22173252057203524,0.22173252057203524,2.2889869860270739e-07,2.2889869860270739e-07
14047,ENSG00000269313,0.0002451088304902098,0.0002451088304902098,1.2348359259035485e-12,1.2348359259035485e-12,7.684292020026565e-07,7.684292020026565e-07,1.7262155770243267e-05,1.7262155770243267e-05
14048,ENSG00000269335,0.010578271613834006,0.010578271613834006,1.2385438808292406e-13,1.2385438808292406e-13,1.7706278715036757e-05,1.7706278715036757e-05,2.5255804664114673e-09,2.5255804664114673e-09
14049,ENSG00000269343,0.00015902990193770834,0.00015902990193770834,3.363405373712851e-15,3.363405373712851e-15,3.1889952030903796e-06,3.1889952030903796e-06,5.800788466655354e-10,5.800788466655354e-10
14050,ENSG00000269427,0.0036405159806142404,0.0036405159806142404,1.1258930607802137e-12,1.1258930607802137e-12,1.2412384973548757e-06,1.2412384973548757e-06,7.571319896951973e-10,7.571319896951973e-10
14051,ENSG00000269439,0.0036396420706260144,0.0036396420706260144,2.203746693552085e-10,2.203746693552085e-10,0.03147810059533781,0.03147810059533781,5.22972897115216e-11,5.22972897115216e-11
