,GeneSymb,MeanPval,OR,Pval,Y,Score
208,BAG1,-1.9266638373334042,-2.1296891902092234,0.00143809,0.007363782065467063,12.996056243447477
209,MYO1F,-2.046726052845778,-1.8101837513115993,0.00023068,0.015245588166592518,13.195499466832727
210,MLIP,-3.1561891623294485,-4.365807878286986,7.68207e-05,4.3069855659556444e-05,9.53041223037367
211,C15orf39,-1.8987670112315689,-3.861412198462609,0.000481792,0.00013757136643123352,11.292230061295927
212,CNTFR,-1.618966764199219,-0.9566898442694556,0.00144039,0.09949397425815606,14.47675266252143
213,ADAMTS14,-2.7971313854418796,0.0691073834354717,0.000125134,0.5396976777604844,14.324385268983697
214,ADPRH,-1.7665627706359814,-4.202449061193759,0.00268084,6.273699193192901e-05,11.083397439160365
215,CHMP5,-1.6966650629376383,-14.750131764448286,0.00152069,1.7777399639408935e-15,0.6056124436041799
216,DEF6,-2.0777942818865416,4.4670904461187675,0.000310045,0.9999658889773791,19.44170543522233
217,LGALSL,-2.0770499101991513,-5.9852381671454955,0.00244838,1.0345735798757717e-06,8.990121193645457
218,GPNMB,-2.306662640362685,-3.6633310568750526,0.000387639,0.00021705743473250338,11.082415573752368
219,AKAP8L,-2.3900372308862745,-8.974137501677061,0.000133941,1.061359466579807e-09,5.688234538426768
220,TMEM204,-2.22666386834967,-3.2715504198208096,0.000218973,0.0005348318269902698,11.554194982819624
221,TMEM206,-2.181907164366135,0.45684158699568933,0.000171864,0.74114277450199,15.327343693619659
222,PSMA5,-1.8829207578317988,-1.7253018157694857,0.000819314,0.01847563062484479,13.444186697388819
223,SLC6A13,-2.2408607531847737,-1.2087309607633863,0.00092109,0.058238473566597906,13.602817557041945
224,SLC6A11,-3.0261582905506437,-0.9670005549831248,6.12439e-05,0.09738700842017577,13.059250425456336
225,KIF16B,-2.3266085747055816,-0.88348073022157,0.000214548,0.11564948492812747,13.842319966062952
226,ZNF326,-2.2257983513874793,0.3150415838720134,0.000226253,0.6737972336527273,15.141652503474639
227,KIAA1324,-2.48485319222372,-2.0656265394291573,0.000209492,0.00852423791108122,12.501929539337226
228,FBXO42,-2.10589955851746,-0.8662917794783492,4.83194e-05,0.1197594012128017,14.080217932994294
229,FAM214A,-2.4580513465965863,0.5352998267978322,5.61577e-05,0.774268662313148,15.129657751191349
230,SRI,-2.4410830147234326,-2.261970586295886,0.000590529,0.005440766246394045,12.349355669970786
231,GALE,-2.2682215178953498,-6.833845703108229,0.000385191,1.4660684008875514e-07,7.950342049986526
232,LGALS9,-2.167500223531894,-0.9814422542720659,0.00357718,0.094502835691474,13.903466793186144
233,GALC,-2.4173285019556743,-4.751498528461683,0.000736531,1.7721226450460616e-05,9.883582240572746
234,LGALS3,-2.318114557460711,-1.860833328970705,0.00031152,0.013590144478870641,12.873461384558688
235,SF3B2,-2.041456224912765,-1.152365487144718,0.000556664,0.06577855730676603,13.858587558932621
236,SFRP2,-2.143855781381566,-1.5364882509163358,0.000781913,0.028253024537678206,13.372065238692201
237,SFRP1,-2.279875862117471,-4.408121099567709,0.000206562,3.9071666155777315e-05,10.364412309304925
238,C14orf93,-2.0604344184061896,-0.09987725216743962,0.00140334,0.4427580983419788,14.892097600416475
239,AGPAT4,-2.735036704219179,-2.6968708684755023,7.81562e-05,0.002005659523254264,11.620501698295422
240,AVPI1,-2.0302248641625287,-0.3720963320670815,0.000244884,0.298011809279187,14.650088074760493
241,ASAP1,-2.477512140626529,-2.547543378212212,6.39576e-05,0.0028263595664598006,12.027353752151363
242,CAMK1G,-2.0974921017892076,2.211137675951907,0.000258286,0.9938877702455051,17.166054845152804
243,PLAUR,-1.9021989236360821,-3.5946708805775387,0.00270894,0.0002542252580056418,11.555539466776484
244,FOXO1,-2.8243013037352847,-1.1363113516531347,6.01539e-05,0.06808697361583979,13.091796615601684
245,KIAA1522,-1.9157720535057938,-1.73795940955883,0.000297597,0.017954454733432646,13.39867780792548
246,LRRC20,-2.9044464244820243,-2.3747077204830775,8.22692e-05,0.004202072079883964,11.773255126025003
247,LPGAT1,-2.9365250817480506,-7.058842695013996,0.00017997,8.732875467110359e-08,7.0570414942280575
248,AP3B1,-3.244720202525592,-2.865267873676448,5.79373e-05,0.0013618844599377882,10.942421194788064
249,AP3B2,-2.0807896373098145,-0.29588691140946466,0.00023832,0.33597014891369703,14.675732722270824
250,RPL21,-2.3001217183790823,-8.076505218502161,0.00126965,8.384839962689662e-09,6.67578233410886
251,SEMA6C,-1.1615385443652748,-1.973322253593437,0.00536127,0.010521654592800505,13.917548473031392
252,RGS4,-2.1387765314713896,-0.9849892707258093,0.00104877,0.09380625330014443,13.928643468792906
253,SLC16A14,-2.6775339232647983,4.757255205211016,0.000190836,0.9999825121185786,19.13213055293632
254,RGS6,-2.6384572421579278,0.8352059332010602,0.000259089,0.8724873668357199,15.249157962033237
255,LPCAT2,-2.2930103487094264,-4.394634805900611,3.71887e-05,4.0303957292492445e-05,10.364764116380066
256,EYA1,-2.652629556012069,-0.8228534465042686,0.000155815,0.1307106338093059,13.576926268473766
257,RGS9,-3.1809774199071046,-2.2262800535461342,5.90617e-05,0.005904026000632078,11.645151797536865
258,EYA3,-1.876815755885921,-6.7649625505135305,0.00346203,1.7180562346942225e-07,8.410630964590652
259,HPN,-2.107589037744995,-3.3069090285618916,0.000317713,0.00049303391728362,11.637911204683217
260,PIGZ,-2.1086707720810947,-1.786978746417873,0.000399979,0.01606889248041981,13.156759752491137
261,OLR1,-2.1992658579952398,-0.8024922190166551,0.000573563,0.13613063059380748,14.05065119397821
262,RHPN2,-2.703248752285078,-1.2514349280401664,0.000174425,0.05307391819783146,13.09772559066486
263,CCDC174,-2.317707427539433,5.190589802858307,0.000181654,0.9999935522617764,19.925291646308978
264,KANK2,-2.2115935175036414,-2.4957860603102406,0.000120081,0.0031829469386245,12.345029693176222
265,SEC61A1,-2.716121155932837,-3.328887314424772,7.7529e-05,0.00046871524305605545,11.007400800632496
266,HAVCR2,-2.087585270787879,-2.3800773753384807,0.000350157,0.0041506514798214395,12.584746624863744
267,ZFAND6,-2.2727207392783257,-4.719403897274568,0.000105965,1.9080414988115158e-05,10.06028463443721
268,DMGDH,-2.5317453365813956,-1.6845069651700293,4.72116e-05,0.020258374476019993,12.83615696923868
